gene,ligand,tf,pair,cell_type,mean,std,n
HIF1A,VEGFA,EGR3,VEGFA#EGR3,other,-3.096819e-07,1.7508223e-06,103187
HIF1A,IL18,EMX2,IL18#EMX2,other,-3.9313836e-08,1.8202455e-07,103187
HIF1A,VEGFA,ETS1,VEGFA#ETS1,other,7.893444e-09,4.648906e-08,103187
HIF1A,CXCL12,FOXJ2,CXCL12#FOXJ2,other,-4.7634017e-09,2.2636351e-08,103187
HIF1A,TGFA,FOXN1,TGFA#FOXN1,other,-2.639894e-08,1.4921386e-07,103187
HIF1A,VEGFA,FOXO4,VEGFA#FOXO4,other,-6.471873e-07,3.6580054e-06,103187
HIF1A,BMP4,GATA3,BMP4#GATA3,other,-1.5154629e-07,8.565503e-07,103187
HIF1A,BMP4,HES1,BMP4#HES1,other,-1.49453e-07,8.446161e-07,103187
HIF1A,VEGFA,HLX,VEGFA#HLX,other,-4.2154563e-10,2.12235e-09,103187
HIF1A,VEGFA,KLF4,VEGFA#KLF4,other,-6.0209986e-06,3.403051e-05,103187
HIF1A,TNFSF10,KLF4,TNFSF10#KLF4,other,-1.8928708e-06,1.0677559e-05,103187
HIF1A,WNT3A,KLF5,WNT3A#KLF5,other,-3.723808e-09,2.1046313e-08,103187
HIF1A,PDGFC,KLF5,PDGFC#KLF5,other,-5.417355e-09,3.0626058e-08,103187
HIF1A,TGFB3,MYC,TGFB3#MYC,other,-1.2267548e-08,6.933993e-08,103187
HIF1A,ADM,PAX1,ADM#PAX1,other,-2.2826363e-08,1.0758662e-07,103187
HIF1A,WNT5A,PAX8,WNT5A#PAX8,other,-3.3723175e-09,1.9062403e-08,103187
HIF1A,IL18,POLR2A,IL18#POLR2A,other,-6.541492e-07,3.6683098e-06,103187
HIF1A,TGFA,POLR2A,TGFA#POLR2A,other,-2.4928164e-07,1.4087431e-06,103187
HIF1A,IL6,POU5F1,IL6#POU5F1,other,1.5648487e-08,7.404433e-08,103187
HIF1A,IL36G,PPARD,IL36G#PPARD,other,-4.65322e-07,2.6297887e-06,103187
HIF1A,INHBA,PRDM1,INHBA#PRDM1,other,-3.308272e-08,1.5660493e-07,103187
HIF1A,VEGFA,PRDM1,VEGFA#PRDM1,other,1.305266e-07,7.2820575e-07,103187
HIF1A,WNT3A,PRDM1,WNT3A#PRDM1,other,-2.6760025e-09,1.3140429e-08,103187
HIF1A,IL36G,PRDM1,IL36G#PRDM1,other,2.2913218e-07,1.2950345e-06,103187
HIF1A,IL18,RREB1,IL18#RREB1,other,-1.3665805e-06,7.56911e-06,103187
HIF1A,ANGPTL4,RREB1,ANGPTL4#RREB1,other,-1.1086237e-06,6.0324883e-06,103187
HIF1A,ADM,RREB1,ADM#RREB1,other,-9.083993e-07,5.314633e-06,103187
HIF1A,BMP2,RXRA,BMP2#RXRA,other,-5.850518e-10,3.306389e-09,103187
HIF1A,CXCL12,RXRA,CXCL12#RXRA,other,-9.0234815e-09,1.7182313e-07,103187
HIF1A,IL18,SIN3A,IL18#SIN3A,other,-3.4844186e-07,1.8846165e-06,103187
HIF1A,CXCL12,SIN3A,CXCL12#SIN3A,other,-1.6267457e-08,6.765201e-08,103187
HIF1A,IL6,SMAD1,IL6#SMAD1,other,-1.24459385e-08,6.007828e-08,103187
HIF1A,IL18,SMAD1,IL18#SMAD1,other,7.716049e-09,4.6054073e-08,103187
HIF1A,PDGFA,SP1,PDGFA#SP1,other,-5.1875755e-08,2.4840298e-07,103187
HIF1A,IL6,STAT3,IL6#STAT3,other,1.6426485e-07,8.27611e-07,103187
HIF1A,PDGFA,TAF1,PDGFA#TAF1,other,-3.3177823e-09,1.2832518e-08,103187
